ElementID,exx,eyy,ezz,exy,eyz,exz,VonMises,Volumetric,MaxShear,Jacobian
170,0,-0.00615583,-0.00615583,-0.0337492,-2.1684e-18,-0.0288246,0.0363547,-0.0123117,0.0444898,20
171,0,-0.921783,-0.921783,-0.00246233,3.12499e-11,0.0312869,0.435287,-1.84357,0.461959,20
172,0,-0.767274,-0.767274,-0.00732636,5.18749e-11,0.0305165,0.362603,-1.53455,0.384919,20
173,0,-0.618496,-0.618496,-0.01201,3e-11,0.0289947,0.292686,-1.23699,0.310837,20
174,0,-0.479112,-0.479112,-0.0163979,2.81249e-11,0.026759,0.227305,-0.958224,0.241603,20
175,0,-0.352554,-0.352554,-0.020382,1.87499e-11,0.0238643,0.168159,-0.705108,0.179049,20
176,0,-0.241938,-0.241938,-0.0238643,4.37499e-11,0.020382,0.116894,-0.483876,0.124974,20
177,0,-0.149988,-0.149988,-0.026759,4.0625e-11,0.0163979,0.0752053,-0.299976,0.0812961,20
178,0,-0.0789685,-0.0789685,-0.0289947,1.75e-11,0.01201,0.045193,-0.157937,0.0504375,20
179,0,-0.0306276,-0.0306276,-0.0305165,-1.0625e-11,0.00732636,0.0294122,-0.0612551,0.0349205,20
180,0,-0.00615583,-0.00615583,-0.0312869,-3.125e-11,0.00246233,0.0257884,-0.0123117,0.0315342,20
181,0,-0.921783,-0.921783,0.0288246,6.25e-11,0.0337492,0.436041,-1.84357,0.463023,20
182,0,-0.767274,-0.767274,0.0231901,7.31251e-11,0.0378429,0.363507,-1.53455,0.386196,20
183,0,-0.618496,-0.618496,0.0169847,4.37499e-12,0.0410047,0.293805,-1.23699,0.312417,20
184,0,-0.479112,-0.479112,0.010361,-2.08167e-17,0.0431569,0.228744,-0.958224,0.243633,20
185,0,-0.352554,-0.352554,0.00348226,-2.5e-11,0.0442463,0.170101,-0.705108,0.181779,20
186,0,-0.241938,-0.241938,-0.00348226,-3.75e-11,0.0442463,0.11967,-0.483876,0.128854,20
187,0,-0.149988,-0.149988,-0.010361,-6.24997e-12,0.0431569,0.079451,-0.299976,0.0871435,20
188,0,-0.0789685,-0.0789685,-0.0169847,1.0625e-11,0.0410047,0.0519522,-0.157937,0.0594043,20
189,0,-0.0306276,-0.0306276,-0.0231901,1.0625e-11,0.0378429,0.039009,-0.0612551,0.0469508,20
190,0,-0.00615583,-0.00615583,-0.0288246,5.20417e-18,0.0337492,0.0363547,-0.0123117,0.0444898,20
191,0,-0.921783,-0.921783,0.0601115,-3.125e-11,0.0362116,0.438294,-1.84357,0.466203,20
192,0,-0.767274,-0.767274,0.0537066,-1.31839e-16,0.0451692,0.366207,-1.53455,0.390003,20
193,0,-0.618496,-0.618496,0.0459794,9.37499e-11,0.0530147,0.297139,-1.23699,0.31711,20
194,0,-0.479112,-0.479112,0.03712,6.24999e-11,0.0595548,0.23301,-0.958224,0.249623,20
195,0,-0.352554,-0.352554,0.0273466,6.24999e-11,0.0646284,0.175796,-0.705108,0.189732,20
196,0,-0.241938,-0.241938,0.0168998,1.5625e-10,0.0681107,0.127635,-0.483876,0.139851,20
